sl_no,hsc_p,hsc_s,degree_p,degree_t,etest_p,specialisation,mba_p,salary,gender_F,gender_M
81,62.0,Commerce,69.0,Comm&Mgmt,67.0,Mkt&HR,62.35,240000.0,True,False
82,63.0,Science,67.0,Comm&Mgmt,86.0,Mkt&Fin,70.2,300000.0,False,True
83,67.0,Commerce,74.0,Comm&Mgmt,82.0,Mkt&Fin,60.44,,False,True
84,79.0,Science,68.0,Sci&Tech,84.0,Mkt&Fin,66.69,300000.0,False,True
85,63.0,Science,70.0,Sci&Tech,55.0,Mkt&Fin,62.0,300000.0,False,True
86,89.83,Commerce,77.2,Comm&Mgmt,78.74,Mkt&Fin,76.18,400000.0,True,False
87,63.0,Commerce,64.0,Comm&Mgmt,67.0,Mkt&Fin,57.03,220000.0,False,True
88,51.0,Science,60.0,Others,75.0,Mkt&HR,59.08,,False,True
89,62.0,Commerce,73.0,Comm&Mgmt,58.0,Mkt&HR,64.36,210000.0,True,False
90,75.0,Science,69.0,Sci&Tech,62.0,Mkt&HR,62.36,210000.0,True,False
91,90.0,Commerce,82.0,Comm&Mgmt,92.0,Mkt&Fin,68.03,300000.0,True,False
92,57.0,Commerce,50.8,Comm&Mgmt,67.0,Mkt&HR,62.79,,False,True
93,69.0,Science,66.0,Comm&Mgmt,72.0,Mkt&Fin,59.47,230000.0,True,False
94,62.0,Commerce,54.0,Comm&Mgmt,72.0,Mkt&HR,55.41,,False,True
95,62.0,Commerce,64.0,Comm&Mgmt,53.88,Mkt&Fin,54.97,260000.0,False,True
96,78.0,Commerce,65.0,Comm&Mgmt,95.46,Mkt&Fin,62.16,420000.0,False,True
97,70.0,Science,76.0,Comm&Mgmt,66.0,Mkt&Fin,64.44,300000.0,True,False
98,62.5,Commerce,61.0,Comm&Mgmt,93.91,Mkt&Fin,69.03,,True,False
99,73.0,Commerce,65.0,Comm&Mgmt,70.0,Mkt&Fin,57.31,220000.0,True,False
100,82.0,Commerce,63.0,Sci&Tech,50.0,Mkt&Fin,59.47,,False,True
101,57.0,Commerce,58.0,Comm&Mgmt,56.39,Mkt&HR,64.95,,True,False
102,72.0,Commerce,68.0,Comm&Mgmt,78.0,Mkt&HR,60.44,380000.0,False,True
103,61.0,Commerce,68.0,Comm&Mgmt,57.5,Mkt&Fin,61.31,300000.0,True,False
104,78.0,Science,73.0,Sci&Tech,85.0,Mkt&HR,65.83,240000.0,False,True
105,63.0,Science,65.0,Comm&Mgmt,55.0,Mkt&HR,58.23,360000.0,False,True
106,64.0,Science,58.0,Sci&Tech,85.0,Mkt&HR,55.3,,False,True
107,50.0,Science,54.0,Sci&Tech,71.0,Mkt&Fin,65.69,,False,True
108,90.0,Commerce,83.0,Comm&Mgmt,80.0,Mkt&HR,73.52,200000.0,False,True
109,82.0,Commerce,69.0,Comm&Mgmt,84.0,Mkt&Fin,58.31,300000.0,False,True
110,63.0,Science,65.0,Sci&Tech,86.0,Mkt&HR,56.09,,False,True
111,70.0,Science,72.0,Sci&Tech,57.2,Mkt&HR,54.8,250000.0,True,False
112,,Science,61.0,Sci&Tech,60.0,Mkt&HR,60.64,,False,True
